1	GO:0008150	GO:0005576	GO:0003674
10	GO:0006805	GO:0044281	GO:0005829	GO:0004060
100	GO:0001666	GO:0001821	GO:0001829	GO:0001889	GO:0001890	GO:0002314	GO:0002636	GO:0002686	GO:0002906	GO:0007155	GO:0006144	GO:0006154	GO:0006154	GO:0006157	GO:0007568	GO:0045987	GO:0009168	GO:0043103	GO:0010460	GO:0050862	GO:0030890	GO:0032261	GO:0033089	GO:0033632	GO:0042110	GO:0042323	GO:0042542	GO:0043101	GO:0043278	GO:0044281	GO:0046061	GO:0046103	GO:0046103	GO:0046111	GO:0046638	GO:0048286	GO:0048541	GO:0048566	GO:0050728	GO:0050850	GO:0055086	GO:0060169	GO:0060407	GO:0070244	GO:0070256	GO:0005886	GO:0016020	GO:0005764	GO:0005829	GO:0005615	GO:0005737	GO:0009897	GO:0009986	GO:0030054	GO:0032839	GO:0043025	GO:0060205	GO:0005515	GO:0001883	GO:0004000	GO:0004000	GO:0008270	GO:0008270
1000	GO:0007157	GO:0007155	GO:0007156	GO:0016339	GO:0016477	GO:0034329	GO:0034332	GO:0042692	GO:0043410	GO:0045216	GO:0048514	GO:0051146	GO:0051149	GO:0090090	GO:0005886	GO:0016021	GO:0005911	GO:0005913	GO:0005916	GO:0014704	GO:0016342	GO:0030027	GO:0045202	GO:0005509	GO:0008013	GO:0019903	GO:0045294	GO:0045295
10000	GO:0000002	GO:0007165	GO:0006468	GO:0005886	GO:0005634	GO:0005737	GO:0005794	GO:0005515	GO:0004672	GO:0004674	GO:0005524	GO:0005543
10001	GO:0006357	GO:0006367	GO:0010467	GO:0019827	GO:0045944	GO:0005634	GO:0005654	GO:0016592	GO:0016592	GO:0001104	GO:0003677	GO:0003713	GO:0008134
10002	GO:0006366	GO:0007165	GO:0006367	GO:0007601	GO:0007602	GO:0010467	GO:0030522	GO:0005634	GO:0005654	GO:0004879	GO:0003707	GO:0008270	GO:0043565
10003	GO:0006508	GO:0042135	GO:0016021	GO:0004180	GO:0008239	GO:0016805	GO:0008237	GO:0008236	GO:0046872	GO:0050129
10004	GO:0006508	GO:0016021	GO:0016324	GO:0004180	GO:0016805	GO:0008237	GO:0008233	GO:0046872
100049587	GO:0007155	GO:0005886	GO:0016021
10005	GO:0006637	GO:0006699	GO:0008206	GO:0016559	GO:0019048	GO:0033540	GO:0033559	GO:0036109	GO:0043649	GO:0044255	GO:0044281	GO:0005739	GO:0005782	GO:0005782	GO:0005782	GO:0005515	GO:0004091	GO:0005102	GO:0016290	GO:0033882	GO:0047617	GO:0052815
10006	GO:0001756	GO:0007169	GO:0006928	GO:0008154	GO:0008285	GO:0018108	GO:0005622	GO:0005829	GO:0005783	GO:0005634	GO:0005856	GO:0030027	GO:0030054	GO:0030175	GO:0030426	GO:0045202	GO:0005515	GO:0008092	GO:0030296
10007	GO:0005975	GO:0006043	GO:0006044	GO:0006091	GO:0007338	GO:0005737	GO:0004342	GO:0016787
10008	GO:0043266	GO:0016021	GO:0005249	GO:0015459
10009	GO:0016055	GO:0035556	GO:0006351	GO:0006355	GO:0005886	GO:0005634	GO:0005737	GO:0005730	GO:0003677	GO:0008270
1001	GO:0007155	GO:0007156	GO:0007601	GO:0034329	GO:0034332	GO:0045216	GO:0050896	GO:0005886	GO:0005886	GO:0016021	GO:0005913	GO:0005509
10010	GO:0007165	GO:0007249	GO:0045087	GO:0005829	GO:0005515	GO:0046872	GO:0031625
100101267	GO:0015031	GO:0051028	GO:0005643	GO:0005789	GO:0031965	GO:0005515
100101467	GO:0006351	GO:0016032	GO:0005634	GO:0003677	GO:0003700	GO:0008270
100101629	GO:0006968	GO:0005515
10011	GO:0006915	GO:0006351	GO:0008283	GO:0030154	GO:0045944	GO:0030529	GO:0005634	GO:0005737	GO:0005667	GO:0031252	GO:0003677	GO:0003713	GO:0010861	GO:0030374
100125288	GO:0000122	GO:0006351	GO:0007275	GO:0007283	GO:0043066	GO:0032092	GO:0033138	GO:0048599	GO:0070374	GO:0005634	GO:0003700	GO:0008270	GO:0043565
100126572	GO:0000902	GO:0002088	GO:0007154	GO:0035265	GO:0016021	GO:0005922
100128327	GO:0016192	GO:0005783	GO:0005794
100128553	GO:0008150	GO:0005575	GO:0016021
100128582	GO:0006351	GO:0006355	GO:0005634	GO:0003676
100128927	GO:0000122	GO:0006351	GO:0005737	GO:0005654	GO:0003677	GO:0008270
100129271	GO:0008544	GO:0005575	GO:0003674
100129543	GO:0006351	GO:0006355	GO:0005634	GO:0003677	GO:0008270
100129654	GO:0006351	GO:0006355	GO:0005634	GO:0003677	GO:0046983
100129842	GO:0006351	GO:0006355	GO:0005634	GO:0003677	GO:0008270
100129885	GO:0001707	GO:0001894	GO:0001958	GO:0002062	GO:0003179	GO:0003188	GO:0006351	GO:0006351	GO:0043066	GO:0008284	GO:0010628	GO:0045893	GO:0030154	GO:0030199	GO:0030509	GO:0032967	GO:0035989	GO:0035990	GO:0035992	GO:0035993	GO:0045944	GO:0060008	GO:0061035	GO:0061036	GO:2000543	GO:0005634	GO:0005667	GO:0003677	GO:0043425	GO:0043565	GO:0046982	GO:0070888
